method,seed,sample_index,masked_cross_entropy,masked_token_accuracy,sequence_reconstruction_accuracy,reference_token_agreement,kl_divergence_from_reference,final_logit_mse,predicted_gronwall_objective_p2,average_bit_width,total_bit_budget,theoretical_activation_memory_ratio,wall_clock_latency_seconds_per_sample,peak_memory_bytes_reference_only,actual_reference_dtype
unquantized_reference,11,88,2.426495179053276,0.3548387096774194,0.0,1.0,-4.566484881985572e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,89,2.6970951172613327,0.25806451612903225,0.0,1.0,-3.60511964367282e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,90,2.0699575927949723,0.45161290322580644,0.0,1.0,-1.862645149230957e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,91,0.04382654630969609,1.0,1.0,1.0,-3.2295863474569015e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,92,1.1389669265237548,0.7741935483870968,0.0,1.0,-3.920567612494192e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,93,2.733465425069294,0.25806451612903225,0.0,1.0,4.20597291761829e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,94,1.6889489701678675,0.4838709677419355,0.0,1.0,3.60511964367282e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,95,3.156138712360013,0.1935483870967742,0.0,1.0,4.80682619156376e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,96,0.7028699081030584,0.8387096774193549,0.0,1.0,-2.1518057873172145e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,97,0.06135309670841502,0.967741935483871,0.0,1.0,2.5911797438898394e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,98,1.3528910233909566,0.6129032258064516,0.0,1.0,2.7939677238464355e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,99,0.25549128240034463,0.9354838709677419,0.0,1.0,-7.593283249485877e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,100,2.9792730731348835,0.25806451612903225,0.0,1.0,9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,101,2.2447206262619264,0.4838709677419355,0.0,1.0,-2.40341309578188e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,102,2.7449343281407512,0.25806451612903225,0.0,1.0,-1.442047857469128e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,103,1.2178289886083333,0.6774193548387096,0.0,1.0,-5.332572806266047e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,104,1.486344225614542,0.5161290322580645,0.0,1.0,-1.8851771470039123e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,105,1.6315242744862073,0.6774193548387096,0.0,1.0,-3.4736829899972486e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,106,2.107526498816667,0.41935483870967744,0.0,1.0,-5.708106102481965e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,107,0.8700590381218541,0.7741935483870968,0.0,1.0,-2.6287330735114314e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,108,1.8755483750344044,0.4838709677419355,0.0,1.0,-1.1829298830801442e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,109,0.16266747514506982,0.9354838709677419,0.0,1.0,-3.1206816915542847e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,110,2.123869449861588,0.4838709677419355,0.0,1.0,1.442047857469128e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,111,0.016470614565356125,1.0,1.0,1.0,3.5525449822025914e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,112,1.4737944997126056,0.6774193548387096,0.0,1.0,-3.0643516971218972e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,113,0.022118994785893346,1.0,1.0,1.0,4.821847523412397e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,114,2.592357748939145,0.25806451612903225,0.0,1.0,-1.442047857469128e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,115,3.5748834456166914,0.06451612903225806,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,116,1.3690718612783859,0.5806451612903226,0.0,1.0,-8.261732516750213e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,117,1.8747228618350722,0.5806451612903226,0.0,1.0,2.298263772841423e-09,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,118,2.424166610164027,0.2903225806451613,0.0,1.0,-9.61365238312752e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
unquantized_reference,11,119,1.4756108793399987,0.5806451612903226,0.0,1.0,-4.2810795768614736e-10,0.0,0.0,16.0,192,1.0,0.09711869312500312,0.0,float32_unquantized_reference
