method,metric,mean,std,bootstrap_ci_low,bootstrap_ci_high,n,average_bit_width,total_bit_budget,predicted_gronwall_objective_p2
gronwall_weighted_budget6,masked_cross_entropy,1.7703094992704032,0.9555348299393521,1.7027425671874319,1.84590643041053,640,6.0,72,3.380695404802628e+22
gronwall_weighted_budget6,masked_token_accuracy,0.5319556451612903,0.26381825913009305,0.513405997983871,0.5518170362903225,640,6.0,72,3.380695404802628e+22
gronwall_weighted_budget6,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.0483984375,0.084375,640,6.0,72,3.380695404802628e+22
gronwall_weighted_budget6,reference_token_agreement,0.9795362903225806,0.032244021124066526,0.9769657258064516,0.981905241935484,640,6.0,72,3.380695404802628e+22
gronwall_weighted_budget6,kl_divergence_from_reference,0.017754879142259573,0.018293123940946142,0.01637443736898913,0.019253852408353395,640,6.0,72,3.380695404802628e+22
gronwall_weighted_budget6,final_logit_mse,0.06367274199895505,0.02930000497545728,0.061473539797726316,0.06607874848141831,640,6.0,72,3.380695404802628e+22
empirical_oracle_budget6,masked_cross_entropy,1.768240828520333,0.9569284690779387,1.6979160696641105,1.8455655987583583,640,6.0,72,4.926596303252738e+23
empirical_oracle_budget6,masked_token_accuracy,0.5325604838709678,0.263478545243531,0.5132484879032259,0.5531313004032258,640,6.0,72,4.926596303252738e+23
empirical_oracle_budget6,sequence_reconstruction_accuracy,0.065625,0.24781912607550347,0.046875,0.08441406249999997,640,6.0,72,4.926596303252738e+23
empirical_oracle_budget6,reference_token_agreement,0.9799899193548388,0.030592999106107112,0.9777696572580645,0.9822076612903226,640,6.0,72,4.926596303252738e+23
empirical_oracle_budget6,kl_divergence_from_reference,0.014477479757085677,0.01454893577963198,0.013358222070854879,0.015667133699139142,640,6.0,72,4.926596303252738e+23
empirical_oracle_budget6,final_logit_mse,0.05351129029029491,0.024511969934777188,0.051632039970437776,0.05547314183302735,640,6.0,72,4.926596303252738e+23
